Nombre, Lema o Grito, Ciudad, Estado, Año de Creación
Club Orión, "Siervo de Dios y amigo de todos", Ciudad Juárez, Chihuahua, 2005
Club Squalos, "¡Firme y adelante!", Tlacotepec, Guerrero, 2018
Club Felinos Tigres, "¡Con valor y fe!", Crustitla, Guerrero, 2017
Club Tribu de Judá, "¡Lealtad y servicio!", Coahuixtla, Morelos, 2019
Club Eben-Jên, "¡Siempre listos para servir!", Cuernavaca, Morelos, 2020
Club Cosmos, , Pichucalco, Chiapas, 
Club Centinelas de la Fe, , Tuxtla Gutiérrez, Chiapas, 
Club Estrellas del Oriente, , Mérida, Yucatán, 
Club Guerreros del Rey, , Cancún, Quintana Roo, 
Club Águilas de Sión, , Villahermosa, Tabasco, 
Club Leones del Sur, , Oaxaca de Juárez, Oaxaca, 
Club Vencedores, , Puebla, Puebla, 
Club Mensajeros de Paz, , Veracruz, Veracruz, 
Club Hijos del Rey, , Monterrey, Nuevo León, 
Club Luz del Mundo, , Guadalajara, Jalisco, 
Club Escuderos de Cristo, , León, Guanajuato, 
Club Soldados de la Luz, , Querétaro, Querétaro, 
Club Guardianes de la Verdad, , San Luis Potosí, San Luis Potosí, 
Club Embajadores del Rey, , Aguascalientes, Aguascalientes, 
Club Príncipes de Paz, , Toluca, Estado de México, 
Club Hijos de la Promesa, , Morelia, Michoacán, 
Club Centinelas del Amanecer, , Culiacán, Sinaloa, 
Club Guerreros de la Fe, , Hermosillo, Sonora, 
Club Estrellas de Belén, , La Paz, Baja California Sur, 
Club Luz y Verdad, , Tijuana, Baja California, 
Club Heraldos de la Esperanza, , Mexicali, Baja California,
Club Mensajeros de la Verdad, , Chihuahua, Chihuahua,
Club Centinelas de la Luz, , Durango, Durango,
