Especialidad,Año,Código,Número 
Alivio del hambre ,2005,AD ,1
Evaluación de la comunidad ,2005,AD ,2
Servicio comunitario ,2005,AD ,3
Respuesta a emergencias y desastres ,2005,AD ,4
Respuesta a emergencias y desastres - Avanzado ,2009,AD ,5
Alfabetización ,2009,AD ,6
Resolución de conflictos ,2009,AD ,7
Reasentam iento de refugiados ,2009,AD ,8
Desarollo comunitario ,2009,AD ,9
Automodelismo ,1928,HM ,1
Bordados ,1928,HM ,2
Dibujo y pintura ,1929,HM ,3
Música - Básico ,1929,HM ,4
Música - Intermedio ,,HM ,5
Música - Avanzado ,,HM ,6
Letreros y carteles ,1933,HM ,7
Cestería ,1937,HM ,8
Trabajos en metal ,1937,HM ,9
Alfarería ,1938,HM ,10
Tallado en madera ,1938,HM ,11
Decoración con flores ,1938,HM ,12
Pintura en vidrio ,1938,HM ,13
Arte en telar ,1938,HM ,14
Trabajos en madera ,1938,HM ,15
Aeromodelismo ,1944,HM ,16
Cultura nativa ,1944,HM ,17
Escultura ,1945,HM ,18
Estampado con molde ,1945,HM ,19
Cerámica ,1956,HM ,20
Pintura en tela ,1956,HM ,21
Trabajos en paño lenci ,1956,HM ,22
Trabajos en acrílico ,1961,HM ,23
Modelaje y fabricación de jabón ,1964,HM ,24
Modelaje y fabricación de jabón - Avanzado ,1964,HM ,25
Arte de hacer esteras ,,HM ,26
Construcciones nativas ,,HM ,27
Modelismo ferroviario ,1967,HM ,28
Herencia cultural ,,HM ,29
Tallado en piedra ,1967,HM ,30
Modelaje en yeso ,1967,HM ,31
Trabajos en cuero ,1967,HM ,32
Croché ,1970,HM ,33
Croché - Avanzado ,1970,HM ,34
Modelismo espacial ,1970,HM ,35
Modelismo espacial - Avanzado ,1970,HM ,36
Tejido ,1970,HM ,37
Tejido - Avanzado ,1970,HM ,38
Trabajos en vidrio ,1970,HM ,39
Arte de trenzar ,1972,HM ,40
Arte de trenzar - Avanzado ,1972,HM ,41
Decoración de tortas ,1972,HM ,42
Esmaltado en cobre ,1972,HM ,43
Esmaltado en cobre - Avanzado ,1972,HM ,44
Tapicería ,,HM ,45
Fabricación de velas ,1972,HM ,46
Serigrafía ,1974,HM ,47
Serigrafía - Avanzado ,1974,HM ,48
Arte con hilo ,1975,HM ,49
Decoupage ,1975,HM ,50
Macramé ,1975,HM ,51
Tejados ,,HM ,52
Cultura nativa - Avanzado ,1976,HM ,53
Bordado en punto cruz ,1976,HM ,54
Biscuit ,1976,HM ,55
Patchwork ,1976,HM ,56
Modelismo naval ,1977,HM ,57
Trabajos en cuero - Avanzado ,1977,HM ,58
Grabado en vidrio ,1997,HM ,59
Origami ,1997,HM ,60
Carrera de autitos de madera ,1999,HM ,61
Carrera de autitos de madera - Avanzado ,1999,HM ,62
Álbum de recortes ,2004,HM ,63
Álbum de recortes - Avanzado ,2004,HM ,64
Fotografía digital ,2006,HM ,65
Genealogía ,2006,HM ,66
Plástico canvas ,2006,HM ,67
Filigrana ,2006,HM ,68
Filigrana - Avanzado ,2006,HM ,69
Batik ,2006,HM ,70
Silbatos ,2007,HM ,71
Silbatos - Avanzado ,2007,HM ,72
Faros ,2007,HM ,73
Faros - Avanzado ,2007,HM ,74
Globos aeroestáticos ,2008,HM ,75
Origami - Avanzado ,2012,HM ,76
Envoltorio ,2012,HM ,77
EVA ,2012,HM ,78
Dibujo vectorial ,2012,HM ,79
Fuxico ,2012,HM ,80
Historietas animadas ,2012,HM ,81
Decoración ,2012,HM ,82
Papercraft ,2012,HM ,83
Papel maché ,,HM ,84
Pirograbado ,2012,HM ,85
Plastimodelismo ,2012,HM ,86
Guitarra ,2012,HM ,87
Guitarra - Avanzado ,2012,HM ,88
Avicultura,1928,AA,1
Aaricultura familiar de subsistencia ,1928,AA ,3
Jardinería y horticultura ,1928,AA ,2
Apicultura ,1929,AA ,4
Aaricultura ,1929,AA ,5
Pesca ,,AA ,6
Ganadería lechera ,1929,AA ,7
Fruticultura 1 ,1929,AA ,8
Fruticultura 11 ,1929,AA ,9
Floricultura ,1938,AA ,10
Cría de caballos ,1944,AA ,11
Cría de palomas ,1944,AA ,12
Cría de ovejas ,1944,AA ,13
Ganadería ,1944,AA ,14
Cría de cabras ,1986,AA ,15
